study_stage_mc,study_degree_yesno,study_degree,study_degree_year,study_degree_field,study_degree_field_open,study_stage_open,field_of_study_mc,field_of_study_open,semester,age,sex,uni_current,uni_bachelor,emp_experience,exp_specific,prereg_where,specific_qrps_teaching,rc_teaching,rc_teaching_specific,interest,importance,felt_information,software1,nosi,nosi_events_mc,data_ok,comments,orp01,orp02,qrp01,qrp02,qrp03,qrp04,qrp05,qrp06,qrp07,qrp08,qrp09,length,nosi_at_uni,n_projects_total,n_emp.intern,n_project,n_thesis.bsc,n_thesis.msc,n_other,id
Master,NA,NA,NA,NA,NA,NA,Other,Technik-Kommunikation,2,28,male,NA,NA,Yes,"2, 3","1, 5","1, 2, 4, 5, 7, 8, 9",Did hear of RC,15,4,5,4,"SPSS,R",No,No,1,NA,6,"2, 3",2,"2, 3",6,6,2,6,6,2,2,106609s (~1.23 days),No,2,0,1,1,0,0,1
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,22,male,Universität Hildesheim,NA,Yes,2,3,"1, 3, 5, 7, 8",Did hear of RC,15,4,5,4,SPSS,Yes,Yes,1,NA,6,2,6,6,6,6,6,6,6,6,6,119445s (~1.38 days),No,1,0,1,0,0,0,2
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,25,female,Universität Regensburg,Universität Regensburg,Yes,"1, 2, 3",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,12,5,5,3,"SPSS,Excel,SAS",No,No,1,NA,6,6,"1, 2, 3",3,6,6,6,1,NA,6,6,85876s (~23.85 hours),No,3,1,1,1,0,0,3
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,23,male,NA,NA,Yes,"1, 2, 3, 5",6,"3, 8",Did hear of RC,1,5,5,4,R,No,No,1,"-benutze meist MATLAB und Excel, auch wenn an der Uni ausschließlich R gelehrt wird
-ein Professor sprach die Replikationskrise in einer Sitzung an. Die meisten Infos habe ich durch eigene Recherche","1, 3, 5",6,6,1,6,6,"1, 2, 3, 5",6,6,6,6,969s (~16.15 minutes),No,4,1,1,1,0,1,4
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,23,male,Ruhr-Universität Bochum,Ruhr-Universität Bochum,Yes,"1, 2, 3, 5",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"11, 14",5,5,5,"R,SPSS",Yes,Not Sure,1,"Thema ""How to Replikationsstudie"" erfragen (ob darüber im Studium informiert wird) und Diskussion über Aussagekraft von Replikationsstudien etc.","1, 3, 5",6,6,2,6,6,1,6,6,6,6,575s (~9.58 minutes),No,4,1,1,1,0,1,5
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Universität Osnabrück,NA,Yes,1,6,"2, 9",Did not hear of RC,NA,5,5,1,SPSS,No,Yes,1,NA,6,6,6,1,6,6,6,6,6,6,6,518s (~8.63 minutes),No,1,1,0,0,0,0,6
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,24,female,NA,NA,Yes,1,1,"1, 2, 4, 7, 8",Did hear of RC,11,5,5,5,"R,SPSS",No,No,1,NA,1,1,1,6,6,6,6,6,6,6,6,423s (~7.05 minutes),No,1,1,0,0,0,0,7
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,9,23,female,Universität Bielefeld,Universität Bielefeld,Yes,"1, 2, 3, 4",6,"6, 8",Did not hear of RC,NA,5,4,3,R,Not Sure,No,1,NA,1,6,6,2,6,6,6,6,2,6,6,8978s (~2.49 hours),No,4,1,1,1,1,0,8
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,22,female,NA,NA,Yes,"1, 2, 5",6,"2, 8",Did hear of RC,"1, 4, 6, 11",3,5,2,"R,SPSS",No,No,1,Ich kannte einige der zu kritisierenden Methoden nicht zuordnen und konnte daher nur teils Aussage darüber geben ob diese angewandt wurden.,6,6,6,6,6,"1, 2",6,"1, 2","1, 2",6,6,939s (~15.65 minutes),No,3,1,1,0,0,1,9
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,21,female,Universität Osnabrück,NA,Yes,1,5,"1, 3, 4, 5, 6, 7, 8",Did hear of RC,11,5,5,3,SPSS,No,Yes,1,NA,1,1,6,6,6,6,6,6,6,6,6,8546s (~2.37 hours),No,1,1,0,0,0,0,10
