age,sex,semester,study_stage_mc,study_stage_open,uni_bachelor,uni_current,study_degree,study_degree_field,study_degree_year,study_degree_yesno,comments,exp_specific
28,male,2,Master,NA,NA,NA,NA,NA,NA,NA,NA,"2, 3"
22,male,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,2
25,female,3,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3"
23,male,1,Master,NA,NA,NA,NA,NA,NA,NA,"-benutze meist MATLAB und Excel, auch wenn an der Uni ausschließlich R gelehrt wird
-ein Professor sprach die Replikationskrise in einer Sitzung an. Die meisten Infos habe ich durch eigene Recherche","1, 2, 3, 5"
23,male,1,Master,NA,Ruhr-Universität Bochum,Ruhr-Universität Bochum,NA,NA,NA,NA,"Thema ""How to Replikationsstudie"" erfragen (ob darüber im Studium informiert wird) und Diskussion über Aussagekraft von Replikationsstudien etc.","1, 2, 3, 5"
20,female,3,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,1
24,female,7,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
23,female,9,Master,NA,Universität Bielefeld,Universität Bielefeld,NA,NA,NA,NA,NA,"1, 2, 3, 4"
22,female,5,Bachelor,NA,NA,NA,NA,NA,NA,NA,Ich kannte einige der zu kritisierenden Methoden nicht zuordnen und konnte daher nur teils Aussage darüber geben ob diese angewandt wurden.,"1, 2, 5"
21,female,5,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,1
22,female,5,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3"
24,female,2,Master,NA,Universität Bielefeld,NA,NA,NA,NA,NA,NA,"1, 3, 5"
32,male,NA,I don't study (any more),NA,NA,NA,M.Sc.,Psychology,1,1,Den Themenkomplex flexible Datenanalyse finde ich unklar abgegrenzt: Bei einer vorregistrierten Studie ist es meiner Ansicht nach kein Problem eine post-hoc Analyse unerwarteter Ergebnisse durchzuführen. Wenn es separat berichtet wird.,"1, 3, 4, 5"
22,male,3,Master,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,NA,"1, 3"
23,female,3,Master,NA,Universität Osnabrück,Universität Hamburg,NA,NA,NA,NA,NA,"1, 2, 3"
19,female,3,Bachelor,NA,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,1
21,female,5,Bachelor,NA,NA,Universität Leipzig,NA,NA,NA,NA,NA,"1, 5"
24,male,5,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,1
26,female,5,Master,NA,Universität Osnabrück,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 3"
24,female,1,Master,NA,Universität Hildesheim,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 3, 5"
20,female,5,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,"1, 2"
22,female,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
20,male,7,Bachelor,NA,NA,Rheinische Friedrich-Wilhelms-Universität Bonn,NA,NA,NA,NA,NA,"1, 3"
20,female,3,Bachelor,NA,NA,Goethe-Universität Frankfurt,NA,NA,NA,NA,NA,"1, 5"
20,female,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,"1, 5"
23,female,3,Master,NA,Universität Hamburg,Universität Hamburg,NA,NA,NA,NA,NA,"1, 3"
30,male,NA,I don't study (any more),NA,NA,NA,M.Sc.,Psychology,1,1,"Technisch beste Umfrage, die ich je ausgefüllt habe!","1, 2, 3, 4, 5"
23,male,2,Master,NA,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 2, 3"
21,female,7,Bachelor,NA,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 3"
27,female,1,Master,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,NA,"2, 3"
23,male,3,Master,NA,Ruhr-Universität Bochum,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 2, 3"
20,female,3,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,1
22,male,1,Master,NA,Rheinische Friedrich-Wilhelms-Universität Bonn,Universität Hamburg,NA,NA,NA,NA,NA,"1, 3"
20,female,3,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,1
31,female,3,Other,Weiterbildungsstudiengang,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,Vieles konnte ich retrospektiv schwer einschätzen...,"1, 2, 3, 4"
21,female,1,Master,NA,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 3"
23,female,1,Master,NA,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,"Open Science Rules
#johannesissexay","1, 3"
21,female,3,Master,NA,Universität Hamburg,Universität Hamburg,NA,NA,NA,NA,NA,"1, 2, 3"
26,male,7,Bachelor,NA,NA,Universität Hamburg,NA,NA,NA,NA,NA,1
23,female,1,Master,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,NA,"1, 2, 3"
17,female,1,Bachelor,NA,NA,Universität zu Köln,NA,NA,NA,NA,NA,NA
24,female,1,Master,NA,Universität zu Köln,Universität zu Köln,NA,NA,NA,NA,NA,"1, 3"
22,female,1,Master,NA,Johannes Gutenberg-Universität Mainz,Universität zu Köln,NA,NA,NA,NA,"Ich habe versehentlich vergessen ""Andere"" anzukreuzen auf einer der ersten Seite. Also ""BAchelorarbeit, Expra, Andere"". :)
Liebe Grüße!","1, 3"
21,female,5,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,2
28,female,1,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,female,5,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,1
24,female,7,Bachelor,NA,NA,Universität zu Köln,NA,NA,NA,NA,NA,1
21,female,5,Bachelor,NA,NA,Universität zu Köln,NA,NA,NA,NA,NA,"1, 2"
24,male,1,Master,NA,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 3"
26,male,5,Bachelor,NA,NA,Universität zu Köln,NA,NA,NA,NA,NA,"1, 5"
26,female,5,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5"
21,female,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
21,male,6,Bachelor,NA,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 3"
22,female,5,Bachelor,NA,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,1
28,male,3,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 3"
26,female,1,Master,NA,NA,NA,NA,NA,NA,NA,NA,3
27,male,3,Master,NA,Universität zu Köln,Universität zu Köln,NA,NA,NA,NA,Sowohl im Expra als auch im Empra müssen ALLE Gruppen ihre Hypothesen und die geplante Datenauswertung präregistrieren. Im Master gibt es sogar eine eigene Veranstaltung zum Thema (ein einsemestriges Seminar).,"1, 2, 3"
20,female,2,Bachelor,NA,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,NA
44,female,5,Bachelor,NA,NA,Universität zu Köln,NA,NA,NA,NA,NA,1
22,female,3,Master,NA,Universität Leipzig,Universität Leipzig,NA,NA,NA,NA,NA,"1, 2, 3, 4"
22,female,1,Master,NA,Universität zu Köln,Universität zu Köln,NA,NA,NA,NA,NA,1
23,female,6,Bachelor,NA,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 3, 5"
20,female,1,Bachelor,NA,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,"Da ich erst wirklich am Beginn des Studiums stehe und das Institut erst noch kennenlernen muss, ist es durchaus möglich, dass mein Wissen über bestimmte Initiativen etc. deutlich geringer ist, als in höheren Semestern.",NA
31,female,8,Master,NA,Universität zu Köln,Universität zu Köln,NA,NA,NA,NA,NA,"1, 2, 4"
21,female,5,Bachelor,NA,NA,Universität zu Köln,NA,NA,NA,NA,NA,1
25,male,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"2, 5"
34,male,7,Bachelor,NA,NA,Universität zu Köln,NA,NA,NA,NA,NA,1
20,female,5,Bachelor,NA,NA,Universität Mannheim,NA,NA,NA,NA,NA,"1, 5"
24,male,3,Master,NA,Albert-Ludwigs-Universität Freiburg,Albert-Ludwigs-Universität Freiburg,NA,NA,NA,NA,"Definition ""Präregistrierung"": Exposé mit festgelegten Hypothesen (Umfang 10 Seiten für Masterarbeit), das nicht veröffentlicht wird?

Im Master werden oft keine Basics mehr gelehrt (bestenfalls). Nicht vorhandene Lehre über Open Science im Master heißt also nicht, dass es nicht im Bachelor gemacht wird.

Flexible Datenanalyse sollte klargestellt werden als flexible Analyse, ohne dass vorher explorative Analysen explizit als Forschungsziel genannt wurden","1, 2, 3, 4"
21,female,3,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,1
23,no answer,7,Bachelor,NA,NA,Universität zu Köln,NA,NA,NA,NA,"- m. E. geht es nicht nur darum, die aktuelle Forschungspraxis zu ""verbessern"", sondern grundlegend zu hinterfragen, z.B. dass kritischer Rationalismus einfach VORAUSGESETZT wird, ohne diesen zu hinterfragen.
Es fehlt absolut an exmanetnert Kritik!",1
24,female,2,Master,NA,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 2, 3"
21,female,5,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,"Ich habe von einem Workshop zum Thema Open Science gehört, dieser wurde allerdings nicht sehr gut beworben.","1, 3"
24,female,6,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3, 4"
28,female,1,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3"
23,female,3,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3, 4"
22,female,1,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3"
24,female,5,Master,NA,Universität zu Köln,Universität zu Köln,NA,NA,NA,NA,"Ich habe fast ein wenig Sorge, dass meine Antworten unter dem Stichwort ""(soziale) Erwünschtheit"" abgetan werden, deshalb finde ich es wichtig, nochmal zu betonen, dass ich es wirklich gut fand, dass sich an der Uni Köln intensiv mit der Krise der Psychologie befasst wurde - ich hatte im Master (fo) ein ganzes Seminar nur zu diesem Thema (und allen Facetten, publication bias, questionnable research practices, pre-registration, Bayes Statistik etc.) und in fast allen Vorlesungen kam es mindestens (!) einmal zur Sprache.","1, 2, 3, 4"
23,female,1,Master,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3"
22,male,5,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,1
22,female,3,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3"
24,female,3,Master,NA,Universität Regensburg,NA,NA,NA,NA,NA,NA,"1, 3, 4"
23,female,3,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3, 4"
21,female,5,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2"
22,female,1,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3"
25,male,3,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5"
23,female,3,Master,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3"
26,male,3,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,1
25,female,5,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3, 5"
23,female,7,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3"
21,male,5,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,"1, 5"
22,female,1,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3"
23,female,1,Master,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 3"
