uni,Bachelor,Master+,total,raw
Universität Osnabrück,65,24,89,69
Julius-Maximilians-Universität Würzburg,50,28,78,73
Universität Regensburg,39,38,77,72
Justus-Liebig-Universität Gießen,63,11,74,68
Rheinische Friedrich-Wilhelms-Universität Bonn,45,29,74,69
Albert-Ludwigs-Universität Freiburg,46,26,72,64
Universität Hildesheim,59,13,72,61
Johannes Gutenberg-Universität Mainz,51,17,68,65
Universität Bielefeld,51,15,66,64
Universität Koblenz-Landau,46,18,64,58
Georg-August-Universität Göttingen,23,38,61,54
SRH Heidelberg,56,2,58,55
Ludwig-Maximilians-Universität München,39,18,57,56
Technische Universität Chemnitz,31,26,57,51
Ruhr-Universität Bochum,36,20,56,52
Universität zu Köln,35,16,51,46
RWTH Aachen,32,17,49,46
Westfälische Wilhelms-Universität Münster,24,23,47,44
Otto-Friedrich-Universität Bamberg,30,13,43,40
Goethe-Universität Frankfurt,20,22,42,40
Universität Mannheim,30,12,42,40
Universität Hamburg,17,16,33,26
Universität Leipzig,19,11,30,29
Ruprecht-Karls-Universität Heidelberg,21,8,29,26
Otto-von-Guericke-Universität Magdeburg,13,13,26,25
Technische Universität Dresden,15,10,25,22
Universität Potsdam,23,2,25,23
Universität Greifswald,21,2,23,23
Universität Trier,19,2,21,15
Freie Universität Berlin,10,10,20,18
Philipps-Universität Marburg,9,11,20,20
Friedrich-Schiller-Universität Jena,8,6,14,8
Leuphana Universität Lüneburg,10,NA,10,10
NA,NA,8,8,8
Fern-Universität in Hagen,5,2,7,4
Technische Universität Darmstadt,5,2,7,6
Universität Erfurt,5,1,6,4
University of Groningen,6,NA,6,NA
Friedrich-Alexander-Universität Erlangen-Nürnberg,2,3,5,3
Heinrich-Heine-Universität Düsseldorf,5,NA,5,NA
Universität Ulm,3,2,5,2
Universität Bremen,4,NA,4,NA
Universität des Saarlandes,2,2,4,3
Eberhard Karls Universität Tübingen,3,NA,3,NA
Medical School Hamburg,1,2,3,2
Technische Universität Braunschweig,3,NA,3,NA
Universität Kassel,1,2,3,2
HAWK Hildesheim,1,1,2,2
Humboldt-Universität zu Berlin,2,NA,2,NA
Martin-Luther-Universität Halle-Wittenberg,2,NA,2,NA
Universität Konstanz,2,NA,2,NA
Bergische Universität Wuppertal,NA,1,1,1
Heidelberg,1,NA,1,NA
Hochschule Fresenius Düsseldorf,1,NA,1,NA
Hochschule Magdeburg-Stendal,1,NA,1,1
Hochschule Stendal,1,NA,1,NA
Katholische Universität Eichstätt-Ingolstadt,1,NA,1,1
Pädagogische Hochschule Ludwigsburg,1,NA,1,1
Psychologische Hochschule Berlin,1,NA,1,NA
Technische Universität Berlin,NA,1,1,1
Technische Universität Münnchen,NA,1,1,1
Universität Siegen,1,NA,1,NA
Universität Wien,1,NA,1,NA
Universität zu Lübeck,NA,1,1,1
Universiteit van Amsterdam,NA,1,1,1
