uni_current,n
NA,8
Albert-Ludwigs-Universität Freiburg,64
Bergische Universität Wuppertal,1
Fern-Universität in Hagen,4
Freie Universität Berlin,18
Friedrich-Alexander-Universität Erlangen-Nürnberg,3
Friedrich-Schiller-Universität Jena,8
Georg-August-Universität Göttingen,54
Goethe-Universität Frankfurt,38
HAWK Hildesheim,2
Hochschule Magdeburg-Stendal,1
Johannes Gutenberg-Universität Mainz,65
Julius-Maximilians-Universität Würzburg,73
Justus-Liebig-Universität Gießen,67
Katholische Universität Eichstätt-Ingolstadt,1
Leuphana Universität Lüneburg,10
Ludwig-Maximilians-Universität München,55
Medical School Hamburg,2
Otto-Friedrich-Universität Bamberg,40
Otto-von-Guericke-Universität Magdeburg,24
Pädagogische Hochschule Ludwigsburg,1
Philipps-Universität Marburg,20
Rheinische Friedrich-Wilhelms-Universität Bonn,69
Ruhr-Universität Bochum,52
Ruprecht-Karls-Universität Heidelberg,26
RWTH Aachen,46
SRH Heidelberg,55
Technische Universität Berlin,1
Technische Universität Chemnitz,50
Technische Universität Darmstadt,6
Technische Universität Dresden,22
Technische Universität Münnchen,1
Universität Bielefeld,64
Universität des Saarlandes,3
Universität Erfurt,4
Universität Greifswald,23
Universität Hamburg,26
Universität Hildesheim,61
Universität Kassel,2
Universität Koblenz-Landau,58
Universität Leipzig,29
Universität Mannheim,40
Universität Osnabrück,67
Universität Potsdam,23
Universität Regensburg,71
Universität Trier,15
Universität Ulm,2
Universität zu Köln,46
Universität zu Lübeck,1
Universiteit van Amsterdam,1
Westfälische Wilhelms-Universität Münster,44
